"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Subj","factor",200,0,73,NA,NA,3,"1",NA,0.98555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR","numeric",200,0,200,0.833093575,1.213105,1.213105,NA,6.77466542950255,NA,-24.1012,17.79095,41.89215,-0.351619307162895,-1.02259625937683,0.613388774200122,0.89623683752487,NA,NA
"Group","factor",200,0,3,NA,NA,102,"fam",NA,0.4998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestSpeaker","factor",200,0,4,NA,NA,69,"S4",NA,0.66645,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VoiceTrain","character",200,0,9,NA,NA,29,"23_2",NA,0.87375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestOrder","integer",200,0,4,1764.65,1413,1413,NA,538.685145451077,NA,1143,2423,1280,0.0971328488844113,0.282486444596166,-1.82394337366155,-2.66500677839523,NA,NA
"age","numeric",200,0,26,2.71434215165164e-16,0.195882891391232,0.195882891391232,NA,1,NA,-2.2453875651167,1.47464360670491,3.72003117182161,-0.512448952808668,-1.49032880615099,-0.702897060449121,-1.02701951039769,NA,NA
"sex","character",200,0,3,NA,NA,108,"m",NA,0.4968,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrSpeakersDaily","numeric",200,0,26,-1.48473356005596e-17,-0.196265307346846,-0.196265307346846,NA,1,NA,-0.585487533121455,7.1211125372158,7.70660007033725,4.9155617643049,14.2956742434659,28.4497779774008,41.5686431105627,NA,NA
"sleepState","factor",200,0,3,NA,NA,185,"awake",NA,0.13875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BlocksAsleep","character",200,0,5,NA,NA,174,"0",NA,0.2364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab","character",200,0,4,NA,NA,163,"Charité",NA,0.30665,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daysVoicetraining","integer",197,0.015,14,20.4213197969543,20,20,NA,2.58531020604759,NA,15,28,13,0.517150978245122,1.49284761821622,0.308000133007002,0.446719547086533,NA,NA
"Anmerkungen","character",200,0,13,NA,NA,170,"",NA,0.27535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CommentsProtokoll","character",200,0,57,NA,NA,29,"0",NA,0.9561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mumDist","numeric",200,0,198,-1.72439373977845e-16,-0.205902760901396,-0.205902760901396,NA,1,NA,-1.5724647481039,3.26091850260565,4.83338325070955,0.896995695330611,2.60868622409649,0.468023337858317,0.683839962276714,NA,NA
"TrialsStan","numeric",200,0,53,46.725,50,50,NA,12.5341493328222,NA,13,70,57,-0.599423594526144,-1.74327266181853,-0.273662207244401,-0.399854319946811,NA,NA
"TrialsDev","numeric",200,0,28,23.385,24,24,NA,6.07050493375582,NA,10,39,29,-0.289364908446217,-0.841545008889217,-0.477779834016125,-0.698095409441036,NA,NA
