"Subj","Group","TestSpeaker","MMR"
"01","fam","S1",6.49747
"02","fam","S1",0.4035
"04","fam","S1",5.1805
"05","fam","S1",21.2746
"06","fam","S1",-4.8921
"07","fam","S1",-2.8105
"08","unfam","S1",0.748600000000001
"09","unfam","S1",4.38955
"10","unfam","S1",2.9318
"11","unfam","S1",-2.0085
"12","unfam","S1",-6.6993
"13","unfam","S1",6.2587
"15","unfam","S1",5.2227
"01","fam","S3",-1.0082
"02","fam","S3",-1.6231
"04","fam","S3",0.1414
"05","fam","S3",-22.5794
"06","fam","S3",-0.1916
"07","fam","S3",0.5844
"08","unfam","S3",8.8364
"09","unfam","S3",2.86978
"10","unfam","S3",4.4001
"11","unfam","S3",9.0498
"12","unfam","S3",0.639400000000001
"13","unfam","S3",-1.9657
"15","unfam","S3",3.3949
"01","fam","S4",0.81
"02","fam","S4",1.20754
"04","fam","S4",-10.5707
"05","fam","S4",16.35398
"06","fam","S4",1.3798
"07","fam","S4",4.1731
"08","unfam","S4",2.0752
"09","unfam","S4",0.4371
"10","unfam","S4",7.3793
"11","unfam","S4",1.8422
"12","unfam","S4",6.9083
"13","unfam","S4",2.8189
"15","unfam","S4",2.644
